trust,impact,optimal_agents
0.3,100,37
0.3,1000,113
0.3,10000,190
0.3,100000,267
0.5,100,32
0.5,1000,78
0.5,10000,124
0.5,100000,170
0.7,100,28
0.7,1000,61
0.7,10000,94
0.7,100000,126
0.9,100,24
0.9,1000,50
0.9,10000,76
0.9,100000,101
