trust,optimal_agents,utility
0.2,265,9684.08
0.25,221,9738.14
0.3,190,9775.54
0.35,167,9803.06
0.4,150,9824.21
0.45,136,9841.02
0.5,124,9854.71
0.55,115,9866.09
0.6,107,9875.71
0.65,100,9883.97
0.7,94,9891.12
0.75,88,9897.40
0.8,84,9902.93
0.85,79,9907.87
0.9,76,9912.30
0.95,72,9916.30
